CMDLINE python ./analytickit/crypto/txn_anz.py
MEM 125.808594 1694611734.3548
MEM 125.808594 1694611734.4560
MEM 125.808594 1694611734.5564
MEM 125.808594 1694611734.6575
MEM 125.808594 1694611734.7587
MEM 125.808594 1694611734.8611
MEM 125.808594 1694611734.9624
MEM 125.808594 1694611735.0631
MEM 125.808594 1694611735.1643
MEM 125.808594 1694611735.2659
MEM 125.808594 1694611735.3673
MEM 125.808594 1694611735.4693
MEM 125.808594 1694611735.5702
MEM 125.808594 1694611735.6719
MEM 125.808594 1694611735.7724
MEM 125.808594 1694611735.8736
MEM 125.808594 1694611735.9751
MEM 125.808594 1694611736.0757
MEM 125.808594 1694611736.1761
MEM 125.808594 1694611736.2769
MEM 125.808594 1694611736.3779
MEM 125.808594 1694611736.4789
MEM 125.808594 1694611736.5795
MEM 125.808594 1694611736.6827
MEM 125.808594 1694611736.7834
MEM 125.808594 1694611736.8845
MEM 125.808594 1694611736.9851
MEM 125.808594 1694611737.0855
MEM 125.808594 1694611737.1859
MEM 125.808594 1694611737.2871
MEM 125.808594 1694611737.3889
MEM 125.808594 1694611737.4899
MEM 125.808594 1694611737.5907
MEM 125.808594 1694611737.6918
MEM 125.808594 1694611737.7921
MEM 125.808594 1694611737.8931
MEM 125.808594 1694611737.9939
MEM 125.808594 1694611738.0953
MEM 125.808594 1694611738.1973
MEM 125.808594 1694611738.2987
MEM 125.808594 1694611738.3996
MEM 125.808594 1694611738.5017
MEM 125.808594 1694611738.6033
MEM 125.808594 1694611738.7044
MEM 125.808594 1694611738.8060
MEM 125.808594 1694611738.9069
MEM 125.808594 1694611739.0074
MEM 125.808594 1694611739.1088
MEM 125.808594 1694611739.2106
MEM 125.808594 1694611739.3116
MEM 125.808594 1694611739.4127
MEM 125.808594 1694611739.5139
MEM 125.808594 1694611739.6144
MEM 125.808594 1694611739.7184
MEM 125.808594 1694611739.8187
MEM 125.808594 1694611739.9191
MEM 125.808594 1694611740.0200
MEM 125.808594 1694611740.1212
MEM 125.808594 1694611740.2225
MEM 125.808594 1694611740.3229
MEM 125.808594 1694611740.4256
MEM 125.808594 1694611740.5262
MEM 125.808594 1694611740.6294
MEM 125.808594 1694611740.7303
MEM 125.808594 1694611740.8325
MEM 125.808594 1694611740.9339
MEM 125.808594 1694611741.0378
MEM 125.808594 1694611741.1389
MEM 125.808594 1694611741.2401
MEM 125.808594 1694611741.3413
MEM 125.808594 1694611741.4427
MEM 125.808594 1694611741.5434
MEM 125.808594 1694611741.6449
MEM 125.808594 1694611741.7456
MEM 125.808594 1694611741.8467
MEM 125.808594 1694611741.9479
MEM 125.808594 1694611742.0488
MEM 125.808594 1694611742.1503
MEM 125.808594 1694611742.2517
MEM 125.808594 1694611742.3520
MEM 125.808594 1694611742.4528
MEM 125.808594 1694611742.5541
MEM 125.808594 1694611742.6550
MEM 125.808594 1694611742.7557
MEM 125.808594 1694611742.8568
MEM 125.808594 1694611742.9586
MEM 125.808594 1694611743.0598
MEM 125.808594 1694611743.1607
MEM 125.808594 1694611743.2618
MEM 125.808594 1694611743.3633
MEM 125.808594 1694611743.4671
MEM 125.808594 1694611743.5684
MEM 125.808594 1694611743.6701
MEM 125.808594 1694611743.7712
MEM 125.808594 1694611743.8723
MEM 125.808594 1694611743.9737
MEM 125.808594 1694611744.0747
MEM 125.808594 1694611744.1758
MEM 125.808594 1694611744.2778
MEM 125.808594 1694611744.3790
MEM 125.808594 1694611744.4809
MEM 125.808594 1694611744.5819
MEM 125.808594 1694611744.6825
MEM 125.808594 1694611744.7832
MEM 125.808594 1694611744.8844
MEM 125.808594 1694611744.9862
MEM 125.808594 1694611745.0883
MEM 125.808594 1694611745.1897
MEM 125.808594 1694611745.2912
MEM 125.808594 1694611745.3933
MEM 125.808594 1694611745.4950
MEM 125.808594 1694611745.5962
MEM 125.808594 1694611745.6981
MEM 125.808594 1694611745.8005
MEM 125.808594 1694611745.9016
MEM 125.808594 1694611746.0031
MEM 125.808594 1694611746.1039
MEM 125.808594 1694611746.2067
MEM 125.808594 1694611746.3079
MEM 125.808594 1694611746.4092
MEM 125.808594 1694611746.5104
MEM 125.808594 1694611746.6107
MEM 125.808594 1694611746.7114
MEM 125.808594 1694611746.8123
MEM 125.808594 1694611746.9132
MEM 125.808594 1694611747.0146
MEM 125.808594 1694611747.1153
MEM 125.808594 1694611747.2174
MEM 125.808594 1694611747.3177
MEM 125.808594 1694611747.4192
MEM 125.808594 1694611747.5212
MEM 125.808594 1694611747.6224
MEM 125.808594 1694611747.7234
MEM 125.808594 1694611747.8252
MEM 125.808594 1694611747.9263
MEM 125.808594 1694611748.0296
MEM 125.808594 1694611748.1305
MEM 125.808594 1694611748.2318
MEM 125.808594 1694611748.3329
MEM 125.808594 1694611748.4337
MEM 125.808594 1694611748.5343
MEM 125.808594 1694611748.6347
MEM 125.808594 1694611748.7354
MEM 125.808594 1694611748.8369
MEM 125.808594 1694611748.9373
MEM 125.808594 1694611749.0389
MEM 125.808594 1694611749.1406
MEM 125.808594 1694611749.2420
MEM 125.808594 1694611749.3431
MEM 125.808594 1694611749.4444
MEM 125.808594 1694611749.5460
MEM 125.808594 1694611749.6467
MEM 125.808594 1694611749.7477
MEM 125.808594 1694611749.8487
MEM 125.808594 1694611749.9503
MEM 125.808594 1694611750.0512
MEM 125.808594 1694611750.1520
MEM 125.808594 1694611750.2527
MEM 125.808594 1694611750.3530
MEM 125.808594 1694611750.4538
MEM 125.808594 1694611750.5541
MEM 125.808594 1694611750.6553
MEM 125.808594 1694611750.7575
MEM 125.808594 1694611750.8581
MEM 125.808594 1694611750.9591
MEM 125.933594 1694611751.0602
MEM 125.933594 1694611751.1612
MEM 125.933594 1694611751.2632
MEM 125.933594 1694611751.3642
MEM 125.933594 1694611751.4652
MEM 125.933594 1694611751.5661
MEM 125.933594 1694611751.6673
MEM 125.933594 1694611751.7688
MEM 125.933594 1694611751.8706
MEM 125.933594 1694611751.9720
MEM 125.933594 1694611752.0726
MEM 125.933594 1694611752.1733
MEM 125.933594 1694611752.2750
MEM 125.933594 1694611752.3769
MEM 125.933594 1694611752.4786
MEM 125.933594 1694611752.5794
MEM 125.933594 1694611752.6808
MEM 125.933594 1694611752.7827
MEM 125.933594 1694611752.8842
MEM 125.933594 1694611752.9858
MEM 125.933594 1694611753.0865
MEM 125.933594 1694611753.1876
MEM 125.933594 1694611753.2891
MEM 125.933594 1694611753.3908
MEM 125.933594 1694611753.4925
MEM 125.933594 1694611753.5943
MEM 125.933594 1694611753.6957
MEM 125.933594 1694611753.7971
MEM 125.933594 1694611753.8987
MEM 125.933594 1694611753.9991
MEM 125.933594 1694611754.1000
MEM 125.933594 1694611754.2014
MEM 125.933594 1694611754.3028
MEM 125.933594 1694611754.4038
MEM 125.933594 1694611754.5047
MEM 125.933594 1694611754.6059
MEM 125.933594 1694611754.7068
MEM 125.933594 1694611754.8083
MEM 125.933594 1694611754.9104
MEM 125.933594 1694611755.0110
MEM 125.933594 1694611755.1129
MEM 125.933594 1694611755.2139
MEM 125.933594 1694611755.3151
MEM 125.933594 1694611755.4161
MEM 125.933594 1694611755.5164
MEM 125.933594 1694611755.6172
MEM 125.933594 1694611755.7185
MEM 125.933594 1694611755.8193
MEM 125.933594 1694611755.9195
MEM 125.933594 1694611756.0199
MEM 125.933594 1694611756.1216
MEM 125.933594 1694611756.2227
MEM 125.933594 1694611756.3248
MEM 125.933594 1694611756.4259
MEM 125.933594 1694611756.5281
MEM 125.933594 1694611756.6300
MEM 125.933594 1694611756.7311
MEM 125.933594 1694611756.8319
MEM 125.933594 1694611756.9323
MEM 125.933594 1694611757.0328
MEM 125.933594 1694611757.1334
MEM 125.933594 1694611757.2348
MEM 125.933594 1694611757.3359
MEM 125.933594 1694611757.4376
MEM 125.933594 1694611757.5386
MEM 125.933594 1694611757.6398
MEM 125.933594 1694611757.7414
MEM 125.933594 1694611757.8417
MEM 125.933594 1694611757.9431
MEM 125.933594 1694611758.0446
MEM 125.933594 1694611758.1458
MEM 125.933594 1694611758.2466
MEM 125.933594 1694611758.3474
MEM 125.933594 1694611758.4478
MEM 125.933594 1694611758.5491
MEM 125.933594 1694611758.6506
MEM 125.933594 1694611758.7534
MEM 125.933594 1694611758.8547
MEM 125.933594 1694611758.9563
MEM 125.933594 1694611759.0570
MEM 125.933594 1694611759.1580
MEM 125.933594 1694611759.2598
MEM 125.933594 1694611759.3617
MEM 125.933594 1694611759.4628
MEM 125.933594 1694611759.5643
MEM 125.933594 1694611759.6659
MEM 125.933594 1694611759.7663
MEM 125.933594 1694611759.8672
MEM 125.933594 1694611759.9686
MEM 125.933594 1694611760.0696
MEM 125.933594 1694611760.1709
MEM 125.933594 1694611760.2719
MEM 125.933594 1694611760.3729
MEM 125.933594 1694611760.4742
MEM 125.933594 1694611760.5750
MEM 125.933594 1694611760.6784
MEM 125.933594 1694611760.7795
MEM 125.933594 1694611760.8803
MEM 125.933594 1694611760.9818
MEM 125.933594 1694611761.0831
MEM 125.933594 1694611761.1843
MEM 125.933594 1694611761.2856
MEM 125.933594 1694611761.3863
MEM 125.933594 1694611761.4872
MEM 125.933594 1694611761.5885
MEM 125.933594 1694611761.6891
MEM 125.933594 1694611761.7902
MEM 125.933594 1694611761.8919
MEM 125.933594 1694611761.9931
MEM 125.933594 1694611762.0937
MEM 125.933594 1694611762.1947
MEM 125.933594 1694611762.2962
MEM 125.933594 1694611762.3971
MEM 125.933594 1694611762.4987
MEM 125.933594 1694611762.6001
MEM 125.933594 1694611762.7013
MEM 125.933594 1694611762.8017
MEM 125.933594 1694611762.9029
MEM 125.933594 1694611763.0043
MEM 125.933594 1694611763.1045
MEM 125.933594 1694611763.2052
MEM 125.933594 1694611763.3064
MEM 125.933594 1694611763.4073
MEM 125.933594 1694611763.5087
MEM 125.933594 1694611763.6102
MEM 125.933594 1694611763.7115
MEM 125.933594 1694611763.8118
MEM 125.933594 1694611763.9134
MEM 125.933594 1694611764.0147
MEM 125.933594 1694611764.1158
MEM 125.933594 1694611764.2167
MEM 125.933594 1694611764.3174
MEM 125.933594 1694611764.4188
MEM 125.933594 1694611764.5200
MEM 125.933594 1694611764.6219
MEM 125.933594 1694611764.7232
MEM 125.933594 1694611764.8246
MEM 125.933594 1694611764.9254
MEM 125.933594 1694611765.0265
MEM 125.933594 1694611765.1281
MEM 125.933594 1694611765.2301
MEM 125.933594 1694611765.3312
MEM 125.933594 1694611765.4322
MEM 125.933594 1694611765.5340
MEM 125.933594 1694611765.6348
MEM 125.933594 1694611765.7353
MEM 125.933594 1694611765.8358
MEM 125.933594 1694611765.9367
MEM 125.933594 1694611766.0382
MEM 125.933594 1694611766.1393
MEM 125.933594 1694611766.2406
MEM 125.933594 1694611766.3413
MEM 125.933594 1694611766.4428
MEM 125.933594 1694611766.5434
MEM 125.933594 1694611766.6439
MEM 125.933594 1694611766.7449
MEM 125.933594 1694611766.8462
MEM 125.933594 1694611766.9476
MEM 125.933594 1694611767.0484
MEM 125.933594 1694611767.1504
MEM 125.933594 1694611767.2517
MEM 125.933594 1694611767.3530
MEM 125.933594 1694611767.4540
MEM 125.933594 1694611767.5559
MEM 125.933594 1694611767.6599
MEM 125.933594 1694611767.7611
MEM 125.933594 1694611767.8627
MEM 125.933594 1694611767.9648
MEM 125.933594 1694611768.0656
MEM 125.933594 1694611768.1662
MEM 125.933594 1694611768.2674
MEM 125.933594 1694611768.3686
MEM 125.933594 1694611768.4703
MEM 125.933594 1694611768.5707
MEM 125.933594 1694611768.6723
MEM 125.933594 1694611768.7740
MEM 125.933594 1694611768.8752
MEM 125.933594 1694611768.9765
MEM 125.933594 1694611769.0778
MEM 125.933594 1694611769.1788
MEM 125.933594 1694611769.2803
MEM 125.933594 1694611769.3819
MEM 125.933594 1694611769.4828
MEM 125.933594 1694611769.5853
MEM 125.933594 1694611769.6861
MEM 125.933594 1694611769.7870
MEM 125.933594 1694611769.8877
MEM 125.933594 1694611769.9896
